11:22:32  |  Platform  |  Info  |  * Initialise: RenderManager  |  ..\..\..\..\MyGUI_3.2.0\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  43
11:22:32  |  Platform  |  Info  |  RenderManager successfully initialized  |  ..\..\..\..\MyGUI_3.2.0\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  71
11:22:32  |  Platform  |  Info  |  * Initialise: DataManager  |  ..\..\..\..\MyGUI_3.2.0\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  27
11:22:32  |  Platform  |  Info  |  DataManager successfully initialized  |  ..\..\..\..\MyGUI_3.2.0\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  35
11:22:32  |  Core  |  Info  |  * Initialise: Gui  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_Gui.cpp  |  75
11:22:32  |  Core  |  Info  |  * MyGUI version 3.2.0  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_Gui.cpp  |  87
11:22:32  |  Core  |  Info  |  * Initialise: ResourceManager  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  48
11:22:32  |  Core  |  Info  |  ResourceManager successfully initialized  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  56
11:22:32  |  Core  |  Info  |  * Initialise: LayerManager  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  49
11:22:32  |  Core  |  Info  |  LayerManager successfully initialized  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  57
11:22:32  |  Core  |  Info  |  * Initialise: WidgetManager  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  67
11:22:32  |  Core  |  Info  |  WidgetManager successfully initialized  |  ..\..\MyGUI_3.2.0\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  98
